date_key,calendar_date,calendar_year,calendar_quarter,month_number,month_name,month_short_name,day_name,day_of_month,month_start
20190420,2019-04-20,2019,2,4,April,Apr,Saturday,20,2019-04-01
20190421,2019-04-21,2019,2,4,April,Apr,Sunday,21,2019-04-01
20190422,2019-04-22,2019,2,4,April,Apr,Monday,22,2019-04-01
20190423,2019-04-23,2019,2,4,April,Apr,Tuesday,23,2019-04-01
20190424,2019-04-24,2019,2,4,April,Apr,Wednesday,24,2019-04-01
20190425,2019-04-25,2019,2,4,April,Apr,Thursday,25,2019-04-01
20190426,2019-04-26,2019,2,4,April,Apr,Friday,26,2019-04-01
20190427,2019-04-27,2019,2,4,April,Apr,Saturday,27,2019-04-01
20190428,2019-04-28,2019,2,4,April,Apr,Sunday,28,2019-04-01
20190429,2019-04-29,2019,2,4,April,Apr,Monday,29,2019-04-01
20190430,2019-04-30,2019,2,4,April,Apr,Tuesday,30,2019-04-01
20190501,2019-05-01,2019,2,5,May,May,Wednesday,1,2019-05-01
20190502,2019-05-02,2019,2,5,May,May,Thursday,2,2019-05-01
20190503,2019-05-03,2019,2,5,May,May,Friday,3,2019-05-01
20190504,2019-05-04,2019,2,5,May,May,Saturday,4,2019-05-01
20190505,2019-05-05,2019,2,5,May,May,Sunday,5,2019-05-01
20190506,2019-05-06,2019,2,5,May,May,Monday,6,2019-05-01
20190507,2019-05-07,2019,2,5,May,May,Tuesday,7,2019-05-01
20190508,2019-05-08,2019,2,5,May,May,Wednesday,8,2019-05-01
20190509,2019-05-09,2019,2,5,May,May,Thursday,9,2019-05-01
20190510,2019-05-10,2019,2,5,May,May,Friday,10,2019-05-01
20190511,2019-05-11,2019,2,5,May,May,Saturday,11,2019-05-01
20190512,2019-05-12,2019,2,5,May,May,Sunday,12,2019-05-01
20190513,2019-05-13,2019,2,5,May,May,Monday,13,2019-05-01
20190514,2019-05-14,2019,2,5,May,May,Tuesday,14,2019-05-01
20190515,2019-05-15,2019,2,5,May,May,Wednesday,15,2019-05-01
20190516,2019-05-16,2019,2,5,May,May,Thursday,16,2019-05-01
20190517,2019-05-17,2019,2,5,May,May,Friday,17,2019-05-01
20190518,2019-05-18,2019,2,5,May,May,Saturday,18,2019-05-01
20190519,2019-05-19,2019,2,5,May,May,Sunday,19,2019-05-01
20190520,2019-05-20,2019,2,5,May,May,Monday,20,2019-05-01
20190521,2019-05-21,2019,2,5,May,May,Tuesday,21,2019-05-01
20190522,2019-05-22,2019,2,5,May,May,Wednesday,22,2019-05-01
20190523,2019-05-23,2019,2,5,May,May,Thursday,23,2019-05-01
20190524,2019-05-24,2019,2,5,May,May,Friday,24,2019-05-01
20190525,2019-05-25,2019,2,5,May,May,Saturday,25,2019-05-01
20190526,2019-05-26,2019,2,5,May,May,Sunday,26,2019-05-01
20190527,2019-05-27,2019,2,5,May,May,Monday,27,2019-05-01
20190528,2019-05-28,2019,2,5,May,May,Tuesday,28,2019-05-01
20190529,2019-05-29,2019,2,5,May,May,Wednesday,29,2019-05-01
20190530,2019-05-30,2019,2,5,May,May,Thursday,30,2019-05-01
20190531,2019-05-31,2019,2,5,May,May,Friday,31,2019-05-01
20190601,2019-06-01,2019,2,6,June,Jun,Saturday,1,2019-06-01
20190602,2019-06-02,2019,2,6,June,Jun,Sunday,2,2019-06-01
20190603,2019-06-03,2019,2,6,June,Jun,Monday,3,2019-06-01
20190604,2019-06-04,2019,2,6,June,Jun,Tuesday,4,2019-06-01
20190605,2019-06-05,2019,2,6,June,Jun,Wednesday,5,2019-06-01
20190606,2019-06-06,2019,2,6,June,Jun,Thursday,6,2019-06-01
20190607,2019-06-07,2019,2,6,June,Jun,Friday,7,2019-06-01
20190608,2019-06-08,2019,2,6,June,Jun,Saturday,8,2019-06-01
20190609,2019-06-09,2019,2,6,June,Jun,Sunday,9,2019-06-01
20190610,2019-06-10,2019,2,6,June,Jun,Monday,10,2019-06-01
20190611,2019-06-11,2019,2,6,June,Jun,Tuesday,11,2019-06-01
20190612,2019-06-12,2019,2,6,June,Jun,Wednesday,12,2019-06-01
20190613,2019-06-13,2019,2,6,June,Jun,Thursday,13,2019-06-01
20190614,2019-06-14,2019,2,6,June,Jun,Friday,14,2019-06-01
20190615,2019-06-15,2019,2,6,June,Jun,Saturday,15,2019-06-01
20190616,2019-06-16,2019,2,6,June,Jun,Sunday,16,2019-06-01
20190617,2019-06-17,2019,2,6,June,Jun,Monday,17,2019-06-01
20190618,2019-06-18,2019,2,6,June,Jun,Tuesday,18,2019-06-01
20190619,2019-06-19,2019,2,6,June,Jun,Wednesday,19,2019-06-01
20190620,2019-06-20,2019,2,6,June,Jun,Thursday,20,2019-06-01
20190621,2019-06-21,2019,2,6,June,Jun,Friday,21,2019-06-01
20190622,2019-06-22,2019,2,6,June,Jun,Saturday,22,2019-06-01
20190623,2019-06-23,2019,2,6,June,Jun,Sunday,23,2019-06-01
20190624,2019-06-24,2019,2,6,June,Jun,Monday,24,2019-06-01
20190625,2019-06-25,2019,2,6,June,Jun,Tuesday,25,2019-06-01
20190626,2019-06-26,2019,2,6,June,Jun,Wednesday,26,2019-06-01
20190627,2019-06-27,2019,2,6,June,Jun,Thursday,27,2019-06-01
20190628,2019-06-28,2019,2,6,June,Jun,Friday,28,2019-06-01
20190629,2019-06-29,2019,2,6,June,Jun,Saturday,29,2019-06-01
20190630,2019-06-30,2019,2,6,June,Jun,Sunday,30,2019-06-01
20190701,2019-07-01,2019,3,7,July,Jul,Monday,1,2019-07-01
20190702,2019-07-02,2019,3,7,July,Jul,Tuesday,2,2019-07-01
20190703,2019-07-03,2019,3,7,July,Jul,Wednesday,3,2019-07-01
20190704,2019-07-04,2019,3,7,July,Jul,Thursday,4,2019-07-01
20190705,2019-07-05,2019,3,7,July,Jul,Friday,5,2019-07-01
20190706,2019-07-06,2019,3,7,July,Jul,Saturday,6,2019-07-01
20190707,2019-07-07,2019,3,7,July,Jul,Sunday,7,2019-07-01
20190708,2019-07-08,2019,3,7,July,Jul,Monday,8,2019-07-01
20190709,2019-07-09,2019,3,7,July,Jul,Tuesday,9,2019-07-01
20190710,2019-07-10,2019,3,7,July,Jul,Wednesday,10,2019-07-01
20190711,2019-07-11,2019,3,7,July,Jul,Thursday,11,2019-07-01
20190712,2019-07-12,2019,3,7,July,Jul,Friday,12,2019-07-01
20190713,2019-07-13,2019,3,7,July,Jul,Saturday,13,2019-07-01
20190714,2019-07-14,2019,3,7,July,Jul,Sunday,14,2019-07-01
20190715,2019-07-15,2019,3,7,July,Jul,Monday,15,2019-07-01
20190716,2019-07-16,2019,3,7,July,Jul,Tuesday,16,2019-07-01
20190717,2019-07-17,2019,3,7,July,Jul,Wednesday,17,2019-07-01
20190718,2019-07-18,2019,3,7,July,Jul,Thursday,18,2019-07-01
20190719,2019-07-19,2019,3,7,July,Jul,Friday,19,2019-07-01
20190720,2019-07-20,2019,3,7,July,Jul,Saturday,20,2019-07-01
20190721,2019-07-21,2019,3,7,July,Jul,Sunday,21,2019-07-01
20190722,2019-07-22,2019,3,7,July,Jul,Monday,22,2019-07-01
20190723,2019-07-23,2019,3,7,July,Jul,Tuesday,23,2019-07-01
20190724,2019-07-24,2019,3,7,July,Jul,Wednesday,24,2019-07-01
20190725,2019-07-25,2019,3,7,July,Jul,Thursday,25,2019-07-01
20190726,2019-07-26,2019,3,7,July,Jul,Friday,26,2019-07-01
20190727,2019-07-27,2019,3,7,July,Jul,Saturday,27,2019-07-01
20190728,2019-07-28,2019,3,7,July,Jul,Sunday,28,2019-07-01
20190729,2019-07-29,2019,3,7,July,Jul,Monday,29,2019-07-01
20190730,2019-07-30,2019,3,7,July,Jul,Tuesday,30,2019-07-01
20190731,2019-07-31,2019,3,7,July,Jul,Wednesday,31,2019-07-01
20190801,2019-08-01,2019,3,8,August,Aug,Thursday,1,2019-08-01
20190802,2019-08-02,2019,3,8,August,Aug,Friday,2,2019-08-01
20190803,2019-08-03,2019,3,8,August,Aug,Saturday,3,2019-08-01
20190804,2019-08-04,2019,3,8,August,Aug,Sunday,4,2019-08-01
20190805,2019-08-05,2019,3,8,August,Aug,Monday,5,2019-08-01
20190806,2019-08-06,2019,3,8,August,Aug,Tuesday,6,2019-08-01
20190807,2019-08-07,2019,3,8,August,Aug,Wednesday,7,2019-08-01
20190808,2019-08-08,2019,3,8,August,Aug,Thursday,8,2019-08-01
20190809,2019-08-09,2019,3,8,August,Aug,Friday,9,2019-08-01
20190810,2019-08-10,2019,3,8,August,Aug,Saturday,10,2019-08-01
20190811,2019-08-11,2019,3,8,August,Aug,Sunday,11,2019-08-01
20190812,2019-08-12,2019,3,8,August,Aug,Monday,12,2019-08-01
20190813,2019-08-13,2019,3,8,August,Aug,Tuesday,13,2019-08-01
20190814,2019-08-14,2019,3,8,August,Aug,Wednesday,14,2019-08-01
20190815,2019-08-15,2019,3,8,August,Aug,Thursday,15,2019-08-01
20190816,2019-08-16,2019,3,8,August,Aug,Friday,16,2019-08-01
20190817,2019-08-17,2019,3,8,August,Aug,Saturday,17,2019-08-01
20190818,2019-08-18,2019,3,8,August,Aug,Sunday,18,2019-08-01
20190819,2019-08-19,2019,3,8,August,Aug,Monday,19,2019-08-01
20190820,2019-08-20,2019,3,8,August,Aug,Tuesday,20,2019-08-01
20190821,2019-08-21,2019,3,8,August,Aug,Wednesday,21,2019-08-01
20190822,2019-08-22,2019,3,8,August,Aug,Thursday,22,2019-08-01
20190823,2019-08-23,2019,3,8,August,Aug,Friday,23,2019-08-01
20190824,2019-08-24,2019,3,8,August,Aug,Saturday,24,2019-08-01
20190825,2019-08-25,2019,3,8,August,Aug,Sunday,25,2019-08-01
20190826,2019-08-26,2019,3,8,August,Aug,Monday,26,2019-08-01
20190827,2019-08-27,2019,3,8,August,Aug,Tuesday,27,2019-08-01
20190828,2019-08-28,2019,3,8,August,Aug,Wednesday,28,2019-08-01
20190829,2019-08-29,2019,3,8,August,Aug,Thursday,29,2019-08-01
20190830,2019-08-30,2019,3,8,August,Aug,Friday,30,2019-08-01
20190831,2019-08-31,2019,3,8,August,Aug,Saturday,31,2019-08-01
20190901,2019-09-01,2019,3,9,September,Sep,Sunday,1,2019-09-01
20190902,2019-09-02,2019,3,9,September,Sep,Monday,2,2019-09-01
20190903,2019-09-03,2019,3,9,September,Sep,Tuesday,3,2019-09-01
20190904,2019-09-04,2019,3,9,September,Sep,Wednesday,4,2019-09-01
20190905,2019-09-05,2019,3,9,September,Sep,Thursday,5,2019-09-01
20190906,2019-09-06,2019,3,9,September,Sep,Friday,6,2019-09-01
20190907,2019-09-07,2019,3,9,September,Sep,Saturday,7,2019-09-01
20190908,2019-09-08,2019,3,9,September,Sep,Sunday,8,2019-09-01
20190909,2019-09-09,2019,3,9,September,Sep,Monday,9,2019-09-01
20190910,2019-09-10,2019,3,9,September,Sep,Tuesday,10,2019-09-01
20190911,2019-09-11,2019,3,9,September,Sep,Wednesday,11,2019-09-01
20190912,2019-09-12,2019,3,9,September,Sep,Thursday,12,2019-09-01
20190913,2019-09-13,2019,3,9,September,Sep,Friday,13,2019-09-01
20190914,2019-09-14,2019,3,9,September,Sep,Saturday,14,2019-09-01
20190915,2019-09-15,2019,3,9,September,Sep,Sunday,15,2019-09-01
20190916,2019-09-16,2019,3,9,September,Sep,Monday,16,2019-09-01
20190917,2019-09-17,2019,3,9,September,Sep,Tuesday,17,2019-09-01
20190918,2019-09-18,2019,3,9,September,Sep,Wednesday,18,2019-09-01
20190919,2019-09-19,2019,3,9,September,Sep,Thursday,19,2019-09-01
20190920,2019-09-20,2019,3,9,September,Sep,Friday,20,2019-09-01
20190921,2019-09-21,2019,3,9,September,Sep,Saturday,21,2019-09-01
20190922,2019-09-22,2019,3,9,September,Sep,Sunday,22,2019-09-01
20190923,2019-09-23,2019,3,9,September,Sep,Monday,23,2019-09-01
20190924,2019-09-24,2019,3,9,September,Sep,Tuesday,24,2019-09-01
20190925,2019-09-25,2019,3,9,September,Sep,Wednesday,25,2019-09-01
20190926,2019-09-26,2019,3,9,September,Sep,Thursday,26,2019-09-01
20190927,2019-09-27,2019,3,9,September,Sep,Friday,27,2019-09-01
20190928,2019-09-28,2019,3,9,September,Sep,Saturday,28,2019-09-01
20190929,2019-09-29,2019,3,9,September,Sep,Sunday,29,2019-09-01
20190930,2019-09-30,2019,3,9,September,Sep,Monday,30,2019-09-01
20191001,2019-10-01,2019,4,10,October,Oct,Tuesday,1,2019-10-01
20191002,2019-10-02,2019,4,10,October,Oct,Wednesday,2,2019-10-01
20191003,2019-10-03,2019,4,10,October,Oct,Thursday,3,2019-10-01
20191004,2019-10-04,2019,4,10,October,Oct,Friday,4,2019-10-01
20191005,2019-10-05,2019,4,10,October,Oct,Saturday,5,2019-10-01
20191006,2019-10-06,2019,4,10,October,Oct,Sunday,6,2019-10-01
20191007,2019-10-07,2019,4,10,October,Oct,Monday,7,2019-10-01
20191008,2019-10-08,2019,4,10,October,Oct,Tuesday,8,2019-10-01
20191009,2019-10-09,2019,4,10,October,Oct,Wednesday,9,2019-10-01
20191010,2019-10-10,2019,4,10,October,Oct,Thursday,10,2019-10-01
20191011,2019-10-11,2019,4,10,October,Oct,Friday,11,2019-10-01
20191012,2019-10-12,2019,4,10,October,Oct,Saturday,12,2019-10-01
20191013,2019-10-13,2019,4,10,October,Oct,Sunday,13,2019-10-01
20191014,2019-10-14,2019,4,10,October,Oct,Monday,14,2019-10-01
20191015,2019-10-15,2019,4,10,October,Oct,Tuesday,15,2019-10-01
20191016,2019-10-16,2019,4,10,October,Oct,Wednesday,16,2019-10-01
20191017,2019-10-17,2019,4,10,October,Oct,Thursday,17,2019-10-01
20191018,2019-10-18,2019,4,10,October,Oct,Friday,18,2019-10-01
20191019,2019-10-19,2019,4,10,October,Oct,Saturday,19,2019-10-01
20191020,2019-10-20,2019,4,10,October,Oct,Sunday,20,2019-10-01
20191021,2019-10-21,2019,4,10,October,Oct,Monday,21,2019-10-01
20191022,2019-10-22,2019,4,10,October,Oct,Tuesday,22,2019-10-01
20191023,2019-10-23,2019,4,10,October,Oct,Wednesday,23,2019-10-01
20191024,2019-10-24,2019,4,10,October,Oct,Thursday,24,2019-10-01
20191025,2019-10-25,2019,4,10,October,Oct,Friday,25,2019-10-01
20191026,2019-10-26,2019,4,10,October,Oct,Saturday,26,2019-10-01
20191027,2019-10-27,2019,4,10,October,Oct,Sunday,27,2019-10-01
20191028,2019-10-28,2019,4,10,October,Oct,Monday,28,2019-10-01
20191029,2019-10-29,2019,4,10,October,Oct,Tuesday,29,2019-10-01
20191030,2019-10-30,2019,4,10,October,Oct,Wednesday,30,2019-10-01
20191031,2019-10-31,2019,4,10,October,Oct,Thursday,31,2019-10-01
20191101,2019-11-01,2019,4,11,November,Nov,Friday,1,2019-11-01
20191102,2019-11-02,2019,4,11,November,Nov,Saturday,2,2019-11-01
20191103,2019-11-03,2019,4,11,November,Nov,Sunday,3,2019-11-01
20191104,2019-11-04,2019,4,11,November,Nov,Monday,4,2019-11-01
20191105,2019-11-05,2019,4,11,November,Nov,Tuesday,5,2019-11-01
20191106,2019-11-06,2019,4,11,November,Nov,Wednesday,6,2019-11-01
20191107,2019-11-07,2019,4,11,November,Nov,Thursday,7,2019-11-01
20191108,2019-11-08,2019,4,11,November,Nov,Friday,8,2019-11-01
20191109,2019-11-09,2019,4,11,November,Nov,Saturday,9,2019-11-01
20191110,2019-11-10,2019,4,11,November,Nov,Sunday,10,2019-11-01
20191111,2019-11-11,2019,4,11,November,Nov,Monday,11,2019-11-01
20191112,2019-11-12,2019,4,11,November,Nov,Tuesday,12,2019-11-01
20191113,2019-11-13,2019,4,11,November,Nov,Wednesday,13,2019-11-01
20191114,2019-11-14,2019,4,11,November,Nov,Thursday,14,2019-11-01
20191115,2019-11-15,2019,4,11,November,Nov,Friday,15,2019-11-01
20191116,2019-11-16,2019,4,11,November,Nov,Saturday,16,2019-11-01
20191117,2019-11-17,2019,4,11,November,Nov,Sunday,17,2019-11-01
20191118,2019-11-18,2019,4,11,November,Nov,Monday,18,2019-11-01
20191119,2019-11-19,2019,4,11,November,Nov,Tuesday,19,2019-11-01
20191120,2019-11-20,2019,4,11,November,Nov,Wednesday,20,2019-11-01
20191121,2019-11-21,2019,4,11,November,Nov,Thursday,21,2019-11-01
20191122,2019-11-22,2019,4,11,November,Nov,Friday,22,2019-11-01
20191123,2019-11-23,2019,4,11,November,Nov,Saturday,23,2019-11-01
20191124,2019-11-24,2019,4,11,November,Nov,Sunday,24,2019-11-01
20191125,2019-11-25,2019,4,11,November,Nov,Monday,25,2019-11-01
20191126,2019-11-26,2019,4,11,November,Nov,Tuesday,26,2019-11-01
20191127,2019-11-27,2019,4,11,November,Nov,Wednesday,27,2019-11-01
20191128,2019-11-28,2019,4,11,November,Nov,Thursday,28,2019-11-01
20191129,2019-11-29,2019,4,11,November,Nov,Friday,29,2019-11-01
20191130,2019-11-30,2019,4,11,November,Nov,Saturday,30,2019-11-01
20191201,2019-12-01,2019,4,12,December,Dec,Sunday,1,2019-12-01
20191202,2019-12-02,2019,4,12,December,Dec,Monday,2,2019-12-01
20191203,2019-12-03,2019,4,12,December,Dec,Tuesday,3,2019-12-01
20191204,2019-12-04,2019,4,12,December,Dec,Wednesday,4,2019-12-01
20191205,2019-12-05,2019,4,12,December,Dec,Thursday,5,2019-12-01
20191206,2019-12-06,2019,4,12,December,Dec,Friday,6,2019-12-01
20191207,2019-12-07,2019,4,12,December,Dec,Saturday,7,2019-12-01
20191208,2019-12-08,2019,4,12,December,Dec,Sunday,8,2019-12-01
20191209,2019-12-09,2019,4,12,December,Dec,Monday,9,2019-12-01
20191210,2019-12-10,2019,4,12,December,Dec,Tuesday,10,2019-12-01
20191211,2019-12-11,2019,4,12,December,Dec,Wednesday,11,2019-12-01
20191212,2019-12-12,2019,4,12,December,Dec,Thursday,12,2019-12-01
20191213,2019-12-13,2019,4,12,December,Dec,Friday,13,2019-12-01
20191214,2019-12-14,2019,4,12,December,Dec,Saturday,14,2019-12-01
20191215,2019-12-15,2019,4,12,December,Dec,Sunday,15,2019-12-01
20191216,2019-12-16,2019,4,12,December,Dec,Monday,16,2019-12-01
20191217,2019-12-17,2019,4,12,December,Dec,Tuesday,17,2019-12-01
20191218,2019-12-18,2019,4,12,December,Dec,Wednesday,18,2019-12-01
20191219,2019-12-19,2019,4,12,December,Dec,Thursday,19,2019-12-01
20191220,2019-12-20,2019,4,12,December,Dec,Friday,20,2019-12-01
20191221,2019-12-21,2019,4,12,December,Dec,Saturday,21,2019-12-01
20191222,2019-12-22,2019,4,12,December,Dec,Sunday,22,2019-12-01
20191223,2019-12-23,2019,4,12,December,Dec,Monday,23,2019-12-01
20191224,2019-12-24,2019,4,12,December,Dec,Tuesday,24,2019-12-01
20191225,2019-12-25,2019,4,12,December,Dec,Wednesday,25,2019-12-01
20191226,2019-12-26,2019,4,12,December,Dec,Thursday,26,2019-12-01
20191227,2019-12-27,2019,4,12,December,Dec,Friday,27,2019-12-01
20191228,2019-12-28,2019,4,12,December,Dec,Saturday,28,2019-12-01
20191229,2019-12-29,2019,4,12,December,Dec,Sunday,29,2019-12-01
20191230,2019-12-30,2019,4,12,December,Dec,Monday,30,2019-12-01
20191231,2019-12-31,2019,4,12,December,Dec,Tuesday,31,2019-12-01
20200101,2020-01-01,2020,1,1,January,Jan,Wednesday,1,2020-01-01
20200102,2020-01-02,2020,1,1,January,Jan,Thursday,2,2020-01-01
